gvp_id,lat,lon,total_complaints,recurrence_count,recurrence_rate,average_days_between_complaints,average_cleanup_interval,distance_to_market_m,distance_to_bin_m,collection_frequency_per_week,near_school,near_bus_stop,population_density,risk_level,cluster_id,risk_score,computed_risk_tier,predicted_root_cause
GVP056,17.75229,83.301592,10,9,0.9,10.0,9.88888888888889,59,213,2,False,False,low,High,2,0.8384,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP001,17.725903,83.300906,7,6,0.8571428571428571,12.5,12.5,87,223,1,True,True,medium,High,0,0.8301,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP052,17.74031,83.291933,9,8,0.8888888888888888,11.25,15.166666666666666,93,215,2,True,True,low,High,0,0.8245,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP042,17.723874,83.287371,10,9,0.9,11.0,12.285714285714286,88,161,1,True,True,high,High,0,0.8161,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP040,17.757413,83.305149,9,8,0.8888888888888888,12.5,12.625,68,150,1,True,False,high,High,2,0.8086,High,"market_proximity, low_collection_frequency, chronic_recurrence"
GVP036,17.724195,83.293946,9,8,0.8888888888888888,11.0,11.125,52,150,2,True,False,low,High,0,0.7962,High,"market_proximity, low_collection_frequency, chronic_recurrence"
GVP012,17.74592,83.325413,7,6,0.8571428571428571,11.833333333333334,11.333333333333334,99,173,2,False,True,high,High,1,0.7802,High,"no_bin_nearby, market_proximity, low_collection_frequency, chronic_recurrence"
GVP015,17.725995,83.299427,5,4,0.8,34.5,34.25,81,142,5,False,True,medium,Medium,0,0.6848,High,"market_proximity, chronic_recurrence"
GVP075,17.732703,83.293017,5,4,0.8,36.25,36.0,128,132,4,True,True,low,Medium,0,0.6831,High,chronic_recurrence
GVP025,17.735926,83.316108,5,4,0.8,30.75,41.0,110,113,4,False,True,medium,Medium,1,0.6764,High,chronic_recurrence
GVP047,17.720087,83.317537,5,4,0.8,26.25,26.25,90,100,4,True,False,high,Medium,4,0.6738,High,"market_proximity, chronic_recurrence"
GVP049,17.766779,83.292466,5,4,0.8,28.25,26.666666666666668,133,144,5,True,False,medium,Medium,2,0.6723,High,chronic_recurrence
GVP035,17.733162,83.328089,5,4,0.8,31.0,30.75,174,94,3,False,True,low,Medium,3,0.6647,High,chronic_recurrence
GVP046,17.727953,83.327498,4,3,0.75,24.0,35.5,160,122,3,True,False,high,Medium,3,0.6577,High,chronic_recurrence
GVP003,17.73423,83.29929,5,4,0.8,35.75,36.0,234,133,4,True,True,medium,Medium,0,0.6557,High,chronic_recurrence
GVP068,17.738212,83.32485,4,3,0.75,35.0,54.0,109,117,4,False,True,high,Medium,3,0.6515,High,chronic_recurrence
GVP044,17.734479,83.283823,5,4,0.8,30.0,29.75,181,70,3,True,True,medium,Medium,0,0.6484,High,chronic_recurrence
GVP019,17.727592,83.305527,4,3,0.75,35.0,34.333333333333336,93,124,5,True,True,low,Medium,0,0.6433,High,"market_proximity, chronic_recurrence"
GVP002,17.744834,83.319845,4,3,0.75,28.0,28.33333333333333,149,148,5,True,True,medium,Medium,1,0.643,High,chronic_recurrence
GVP021,17.742609,83.281393,5,4,0.8,30.25,40.66666666666666,85,65,5,True,False,high,Medium,0,0.6374,High,"market_proximity, chronic_recurrence"
GVP054,17.735964,83.298415,4,3,0.75,29.33333333333333,43.0,202,103,3,False,False,high,Medium,0,0.6352,High,chronic_recurrence
GVP031,17.720767,83.316654,4,3,0.75,31.0,31.666666666666668,124,62,3,True,False,medium,Medium,4,0.6311,High,chronic_recurrence
GVP022,17.767075,83.314961,4,3,0.75,33.0,34.0,182,128,5,False,True,low,Medium,2,0.6222,High,chronic_recurrence
GVP030,17.730088,83.2956,3,2,0.6666666666666666,38.5,38.5,72,93,3,True,False,medium,Medium,0,0.6177,High,market_proximity
GVP073,17.747231,83.288035,5,4,0.8,25.75,33.333333333333336,183,64,5,True,True,medium,Medium,0,0.6109,High,chronic_recurrence
GVP045,17.746203,83.327637,4,3,0.75,26.666666666666668,26.33333333333333,96,71,5,False,True,high,Medium,1,0.6106,High,"market_proximity, chronic_recurrence"
GVP014,17.731023,83.291342,3,2,0.6666666666666666,29.5,30.5,153,104,3,True,False,medium,Medium,0,0.6029,High,none_identified
GVP053,17.742649,83.296642,3,2,0.6666666666666666,30.0,41.0,200,123,3,True,True,high,Medium,0,0.6019,High,none_identified
GVP029,17.720577,83.329715,3,2,0.6666666666666666,27.5,27.0,91,93,4,True,True,low,Medium,-1,0.596,Medium,market_proximity
GVP057,17.762773,83.328612,4,3,0.75,34.333333333333336,51.5,160,69,5,True,True,low,Medium,5,0.5925,Medium,chronic_recurrence
GVP034,17.763527,83.313527,4,3,0.75,33.0,32.666666666666664,230,70,4,True,False,medium,Medium,2,0.5913,Medium,chronic_recurrence
GVP050,17.765671,83.327035,4,3,0.75,34.666666666666664,35.333333333333336,221,63,4,True,False,low,Medium,5,0.5894,Medium,chronic_recurrence
GVP026,17.745613,83.283215,3,2,0.6666666666666666,27.5,28.0,219,126,4,False,True,medium,Medium,0,0.5821,Medium,none_identified
GVP005,17.75532,83.329323,3,2,0.6666666666666666,28.5,28.5,200,115,4,True,True,low,Medium,1,0.5805,Medium,none_identified
GVP065,17.764179,83.316636,3,2,0.6666666666666666,24.5,24.0,175,110,5,True,False,low,Medium,2,0.5674,Medium,none_identified
GVP048,17.76994,83.309459,3,2,0.6666666666666666,37.5,72.0,160,68,4,False,True,low,Medium,2,0.5627,Medium,none_identified
GVP061,17.741001,83.292863,3,2,0.6666666666666666,31.0,42.0,232,123,5,True,False,medium,Medium,0,0.5602,Medium,none_identified
GVP069,17.732851,83.317364,2,1,0.5,112.0,117.0,182,39,5,False,True,medium,Low,1,0.4311,Medium,none_identified
GVP039,17.751856,83.327976,2,1,0.5,115.0,114.0,171,11,5,True,True,low,Low,1,0.4171,Medium,none_identified
GVP006,17.761555,83.289117,2,1,0.5,105.0,105.0,156,24,6,False,False,medium,Low,2,0.4123,Medium,none_identified
GVP064,17.727319,83.299673,2,1,0.5,84.0,91.0,178,52,7,False,True,low,Low,0,0.4067,Medium,none_identified
GVP051,17.763474,83.304279,2,1,0.5,84.0,87.0,220,58,7,False,False,medium,Low,-1,0.3992,Medium,none_identified
GVP023,17.732032,83.283656,2,1,0.5,103.0,100.0,187,30,7,False,True,high,Low,0,0.391,Medium,none_identified
GVP010,17.725768,83.304403,2,1,0.5,116.0,119.0,392,33,5,True,True,medium,Low,0,0.372,Medium,none_identified
GVP059,17.767177,83.289585,2,1,0.5,112.0,118.0,303,14,7,True,False,low,Low,2,0.3508,Medium,none_identified
GVP020,17.747824,83.296299,2,1,0.5,109.0,113.0,521,49,5,True,True,high,Low,0,0.3476,Low,none_identified
GVP016,17.75624,83.2885,2,1,0.5,74.0,69.0,530,35,5,False,True,high,Low,2,0.3368,Low,none_identified
GVP041,17.731739,83.317822,2,1,0.5,91.0,94.0,583,14,6,True,False,medium,Low,1,0.2935,Low,none_identified
GVP008,17.723367,83.290438,1,0,0.0,0.0,0.0,181,35,5,True,True,high,Low,0,0.154,Low,none_identified
GVP038,17.756208,83.312161,1,0,0.0,0.0,0.0,226,41,6,True,True,high,Low,2,0.129,Low,none_identified
GVP055,17.733512,83.317606,1,0,0.0,0.0,0.0,257,43,6,True,True,medium,Low,1,0.122,Low,none_identified
GVP063,17.758024,83.294747,1,0,0.0,0.0,0.0,263,39,6,True,False,low,Low,2,0.118,Low,none_identified
GVP017,17.747414,83.28107,1,0,0.0,0.0,0.0,229,32,7,True,True,low,Low,0,0.1061,Low,none_identified
GVP024,17.757334,83.284706,1,0,0.0,0.0,0.0,389,18,5,True,False,low,Low,2,0.0888,Low,none_identified
GVP072,17.759192,83.309786,2,0,0.0,84.0,0.0,385,30,6,True,False,low,Low,2,0.0804,Low,none_identified
GVP009,17.767447,83.310687,2,0,0.0,69.0,0.0,424,19,5,True,False,medium,Low,2,0.0801,Low,none_identified
GVP032,17.74475,83.321731,1,0,0.0,0.0,0.0,371,51,7,True,False,low,Low,1,0.0801,Low,none_identified
GVP067,17.739006,83.318437,1,0,0.0,0.0,0.0,437,17,5,False,True,low,Low,1,0.0755,Low,none_identified
GVP074,17.72866,83.286647,1,0,0.0,0.0,0.0,513,41,6,True,False,high,Low,0,0.0532,Low,none_identified
GVP007,17.75381,83.2827,1,0,0.0,0.0,0.0,466,42,7,False,True,medium,Low,2,0.0496,Low,none_identified
GVP071,17.765677,83.32074,1,0,0.0,0.0,0.0,554,34,6,False,True,low,Low,2,0.0382,Low,none_identified
GVP028,17.729167,83.324764,1,0,0.0,0.0,0.0,559,13,7,False,True,low,Low,3,0.0075,Low,none_identified
