cleanup_id,gvp_id,complaint_id,cleaned_date,response_time_hours,waste_collected_kg,cost_estimate,cleaned_by
CL00080,GVP142,C02527,2025-01-23,85,124.6,638.33,Team D
CL00081,GVP182,C02696,2026-06-01,75,54.8,390.27,Team B
CL00082,GVP235,C00283,2025-12-27,37,257.2,1191.43,Team C
CL00083,GVP026,C02629,2026-07-24,66,125.9,857.61,Team A
CL00084,GVP077,C03536,2025-10-15,28,320,1620.61,Team D
CL00085,GVP161,C03708,2026-02-19,47,74.2,502.11,Team B
CL00086,GVP105,C01722,2025-03-13,57,121.0,566.47,Team C
CL00087,GVP019,C03941,2026-07-11,124,154.4,961.74,Team A
CL00088,GVP203,C03355,2026-04-16,29,105.1,542.24,Team B
CL00089,GVP264,C01656,2026-03-20,32,69.0,391.83,Team D
CL00090,GVP188,C01387,2025-06-12,55,217.8,900.65,Team A
CL00091,GVP018,C03036,2025-08-19,44,173.0,945.75,Team C
CL00092,GVP037,C03333,2026-09-05,106,47.3,285.06,Team D
CL00093,GVP140,C01616,2026-05-22,148,61.6,421.49,Team A
CL00094,GVP141,C00150,2026-08-31,31,31.8,331.95,Team D
CL00095,GVP159,C00706,2025-03-23,16,104.1,610.77,Team A
CL00096,GVP116,C03749,2026-05-01,39,88.3,394.57,Team C
CL00097,GVP154,C02597,2026-02-26,41,155.0,773.87,Team B
CL00098,GVP136,C01188,2025-04-06,40,138.0,746.87,Team B
CL00099,GVP075,C01774,2025-08-24,136,150.7,720.24,Team C
CL00100,GVP112,C00740,2026-08-08,17,132.6,759.74,Team C
CL00101,GVP198,C00059,2026-10-08,30,320,1788.34,Team A
CL00102,GVP091,C01095,2026-06-17,34,320,1712.32,Team C
CL00103,GVP169,C02699,2025-07-29,40,77.4,411.12,Team C
CL00104,GVP245,C01453,2025-01-30,43,137.0,723.49,Team A
CL00105,GVP208,C00096,2025-03-08,51,141.5,820.3,Team D
CL00106,GVP176,C00797,2026-12-23,33,320,1753.41,Team B
CL00107,GVP244,C02086,2026-10-04,22,61.2,318.31,Team D
CL00108,GVP149,C03511,2026-04-15,75,186.2,1172.84,Team B
CL00109,GVP133,C00097,2026-01-23,64,188.8,848.88,Team C
CL00110,GVP141,C03034,2026-09-15,99,162.8,910.92,Team A
CL00111,GVP250,C03889,2026-01-10,45,123.8,509.81,Team B
CL00112,GVP088,C03579,2026-09-11,60,116.8,546.41,Team C
CL00113,GVP299,C03914,2025-01-10,59,144.8,861.7,Team B
CL00114,GVP059,C00586,2026-07-28,46,191.7,1109.72,Team C
CL00115,GVP145,C02806,2025-11-22,175,85.5,604.73,Team A
CL00116,GVP013,C00300,2025-10-15,50,95.5,541.93,Team A
CL00117,GVP180,C01133,2026-11-12,43,105.5,721.97,Team D
CL00118,GVP202,C03099,2025-07-17,59,203.4,1147.63,Team C
CL00119,GVP296,C00476,2025-11-02,64,156.0,722.73,Team C
CL00120,GVP233,C02540,2025-09-22,30,113.4,495.89,Team D
CL00121,GVP079,C03214,2025-06-22,78,75.7,446.92,Team A
CL00122,GVP129,C00077,2025-05-28,68,214.0,1086.55,Team C
CL00123,GVP168,C03317,2026-01-17,61,239.7,1299.11,Team B
CL00124,GVP003,C00182,2025-12-27,26,106.4,462.49,Team A
CL00125,GVP033,C00177,2026-09-13,122,151.5,922.77,Team D
CL00126,GVP077,C03785,2025-11-24,57,83.6,516.32,Team A
CL00127,GVP030,C01565,2026-02-20,71,150.4,744.67,Team C
CL00128,GVP234,C03144,2026-12-10,78,48.3,322.34,Team C
CL00129,GVP126,C01438,2025-08-27,70,184.0,1063.36,Team A
CL00130,GVP152,C01389,2025-04-09,51,104.4,468.23,Team C
CL00131,GVP280,C02288,2025-08-24,60,96.1,532.12,Team C
CL00132,GVP022,C01638,2025-10-22,69,320,1757.04,Team A
CL00133,GVP251,C01979,2025-03-27,60,88.0,435.77,Team D
CL00134,GVP296,C01252,2026-05-03,17,119.3,565.36,Team A
CL00135,GVP135,C00451,2026-06-09,109,205.1,1016.19,Team C
CL00136,GVP086,C03992,2025-03-14,94,61.2,385.5,Team B
CL00137,GVP159,C01510,2025-12-22,51,71.8,411.55,Team B
CL00138,GVP185,C03829,2026-01-31,19,121.5,605.42,Team C
CL00139,GVP008,C03064,2026-01-29,112,66.8,492.6,Team B
CL00140,GVP182,C03947,2025-12-28,37,143.4,885.83,Team C
CL00141,GVP053,C01113,2026-02-26,86,63.6,426.92,Team C
CL00142,GVP184,C01689,2025-11-27,90,172.3,1055.82,Team A
CL00143,GVP208,C01320,2026-11-02,240,154.9,709.2,Team A
CL00144,GVP222,C02460,2026-12-20,112,152.1,687.7,Team A
CL00145,GVP124,C01457,2026-01-03,17,69.1,459.68,Team C
CL00146,GVP048,C00990,2026-07-11,33,209.3,1235.84,Team B
CL00147,GVP294,C02498,2026-10-26,145,126.5,712.4,Team D
CL00148,GVP060,C01658,2026-08-12,100,112.2,597.61,Team C
CL00149,GVP073,C02348,2025-08-15,13,109.6,593.12,Team B
CL00150,GVP218,C01488,2026-02-07,70,92.8,639.93,Team B
CL00151,GVP059,C02752,2025-12-26,42,320,1725.56,Team B
CL00152,GVP007,C01001,2026-01-20,75,140.7,802.72,Team C
CL00153,GVP043,C02043,2026-04-28,84,137.0,896.35,Team B
CL00154,GVP135,C02263,2026-09-15,90,65.0,400.92,Team A
CL00155,GVP046,C03450,2026-12-31,55,178.0,1018.69,Team D
CL00156,GVP137,C03271,2026-05-22,61,71.8,441.07,Team C
CL00157,GVP082,C03079,2025-10-14,92,74.4,364.57,Team B
CL00158,GVP241,C00712,2026-06-21,105,169.4,676.03,Team D
CL00159,GVP192,C03098,2026-07-14,40,88.8,525.76,Team D
CL00160,GVP164,C01729,2026-10-27,53,49.6,411.61,Team D
CL00161,GVP272,C02576,2026-05-27,68,161.2,867.58,Team B
CL00162,GVP029,C03252,2025-11-14,68,62.0,381.39,Team C
CL00163,GVP262,C00381,2025-10-09,44,114.8,490.3,Team C
CL00164,GVP077,C02883,2026-11-06,51,103.6,697.94,Team A
CL00165,GVP203,C03783,2026-02-01,79,107.2,656.37,Team B
CL00166,GVP222,C03159,2026-04-11,46,94.5,609.05,Team C
CL00167,GVP158,C00752,2026-01-24,44,117.1,610.95,Team B
CL00168,GVP081,C01127,2025-12-10,165,92.2,552.29,Team D
CL00169,GVP140,C00622,2025-11-25,50,136.9,733.04,Team A
CL00170,GVP072,C03432,2025-11-19,47,239.1,1101.12,Team B
CL00171,GVP300,C03251,2025-02-07,54,133.0,631.28,Team A
CL00172,GVP141,C01857,2025-04-06,105,177.5,1095.76,Team A
CL00173,GVP155,C00123,2025-07-22,51,175.6,922.41,Team B
CL00174,GVP087,C03053,2026-11-05,41,153.4,909.71,Team D
CL00175,GVP058,C03337,2025-06-02,65,217.7,1296.77,Team C
CL00176,GVP033,C00896,2026-12-14,60,37.0,313.83,Team D
CL00177,GVP129,C00380,2026-11-09,28,320,1657.54,Team A
CL00178,GVP168,C01296,2026-12-27,108,74.4,372.43,Team D
CL00179,GVP005,C01899,2026-07-10,52,54.8,386.48,Team A
CL00180,GVP033,C02942,2025-07-20,103,117.4,711.22,Team C
CL00181,GVP264,C03937,2026-07-09,33,116.9,635.57,Team B
CL00182,GVP209,C01136,2026-02-25,90,130.5,620.97,Team D
CL00183,GVP079,C02717,2025-10-13,101,284.8,1643.26,Team D
CL00184,GVP093,C02746,2025-12-14,21,122.6,625.92,Team B
CL00185,GVP200,C00390,2025-01-24,27,91.3,605.21,Team B
CL00186,GVP216,C02871,2025-12-09,23,196.4,796.74,Team A
CL00187,GVP189,C00034,2025-01-12,78,214.6,1123.98,Team A
CL00188,GVP184,C00021,2025-08-30,60,182.9,974.28,Team B
CL00189,GVP179,C01724,2026-08-24,53,130.2,754.83,Team A
CL00190,GVP125,C01403,2025-06-14,36,100.1,442.94,Team A
CL00191,GVP122,C02314,2025-05-23,40,275.4,1491.6,Team A
CL00192,GVP007,C02827,2026-12-21,56,49.2,284.39,Team A
CL00193,GVP108,C03930,2026-10-21,38,102.1,598.19,Team B
CL00194,GVP086,C00547,2025-02-12,51,177.3,1042.73,Team B
CL00195,GVP045,C00748,2025-04-14,119,115.7,597.88,Team C
CL00196,GVP098,C00168,2026-04-14,70,75.8,424.47,Team D
CL00197,GVP200,C03913,2025-09-29,71,39.3,266.7,Team D
CL00198,GVP232,C01269,2026-01-30,50,82.8,559.35,Team C
CL00199,GVP236,C02440,2026-12-24,48,138.6,901.9,Team A
CL00200,GVP201,C03445,2025-08-01,14,118.7,794.03,Team A
CL00201,GVP249,C02726,2026-12-06,275,225.9,1253.36,Team A
CL00202,GVP101,C02900,2025-06-23,42,58.1,370.28,Team C
CL00203,GVP012,C01896,2026-05-23,67,100.1,513.13,Team B
CL00204,GVP152,C01704,2025-05-08,29,125.1,552.92,Team B
CL00205,GVP253,C03533,2025-10-26,34,75.9,411.92,Team A
CL00206,GVP296,C01837,2025-06-01,188,139.1,743.91,Team D
CL00207,GVP182,C02794,2026-10-03,39,178.0,1054.99,Team C
CL00208,GVP112,C01575,2026-05-06,28,320,1506.98,Team D
CL00209,GVP095,C01653,2026-10-07,40,81.8,383.69,Team C
CL00210,GVP042,C02130,2025-12-08,84,110.5,682.72,Team A
CL00211,GVP240,C00405,2026-10-11,54,76.8,495.61,Team C
CL00212,GVP243,C01836,2025-09-08,56,82.9,389.75,Team B
CL00213,GVP067,C01297,2025-02-09,42,72.3,420.3,Team B
CL00214,GVP162,C03787,2026-09-12,30,221.0,1007.1,Team D
CL00215,GVP111,C01752,2026-08-24,52,41.5,267.64,Team D
CL00216,GVP284,C01193,2025-11-21,45,159.0,925.59,Team A
CL00217,GVP139,C02132,2025-09-10,33,225.2,1365.11,Team B
CL00218,GVP283,C00217,2026-03-16,44,86.8,509.33,Team C
CL00219,GVP104,C00345,2025-06-22,38,146.0,875.7,Team A
CL00220,GVP119,C03447,2025-10-28,78,196.9,1177.81,Team B
CL00221,GVP146,C01945,2026-07-01,67,102.2,643.19,Team D
CL00222,GVP238,C00935,2026-11-11,52,215.6,1091.25,Team B
CL00223,GVP037,C01620,2026-03-27,22,44.0,354.02,Team B
CL00224,GVP267,C01927,2026-10-15,72,320,1285.22,Team D
CL00225,GVP211,C02769,2025-05-01,10,126.4,791.49,Team D
CL00226,GVP163,C02059,2026-02-26,18,175.0,1009.22,Team C
CL00227,GVP292,C02124,2026-02-02,47,58.3,340.36,Team A
CL00228,GVP229,C02057,2026-09-29,82,93.7,618.85,Team A
CL00229,GVP102,C01058,2025-07-12,50,75.0,438.47,Team C
CL00230,GVP281,C01622,2025-08-30,45,108.4,650.56,Team C
CL00231,GVP152,C02461,2026-01-08,21,104.2,602.05,Team D
CL00232,GVP002,C00402,2026-04-30,59,230.9,1330.63,Team B
CL00233,GVP114,C01684,2026-07-28,171,134.7,724.6,Team B
CL00234,GVP159,C01228,2025-12-28,37,82.6,601.97,Team D
CL00235,GVP003,C01253,2025-07-03,33,140.9,716.31,Team C
CL00236,GVP220,C03001,2026-08-31,13,148.1,806.14,Team B
CL00237,GVP023,C01004,2026-04-04,14,159.4,729.28,Team B
CL00238,GVP192,C00149,2026-09-14,67,202.6,828.04,Team D
CL00239,GVP220,C00368,2025-09-01,73,116.1,556.82,Team D
CL00240,GVP085,C01587,2026-04-07,46,128.2,750.54,Team B
CL00241,GVP054,C00961,2026-10-17,45,48.6,422.13,Team D
CL00242,GVP244,C01821,2025-02-17,66,109.6,695.6,Team A
CL00243,GVP025,C02963,2025-05-14,42,109.5,592.17,Team B
CL00244,GVP213,C03044,2026-09-16,33,163.5,905.28,Team B
CL00245,GVP115,C03686,2025-07-28,45,72.1,421.46,Team B
CL00246,GVP112,C01067,2025-02-08,16,77.5,486.23,Team B
CL00247,GVP010,C03264,2026-11-19,27,163.3,974.01,Team B
CL00248,GVP292,C03717,2025-05-10,54,39.7,271.49,Team C
CL00249,GVP071,C02187,2025-08-20,55,132.4,799.44,Team D
CL00250,GVP241,C03130,2026-11-04,89,162.9,891.78,Team B
CL00251,GVP228,C00555,2026-11-26,74,102.0,583.9,Team D
CL00252,GVP212,C01041,2026-07-10,24,79.7,371.62,Team D
CL00253,GVP137,C00645,2025-01-26,86,149.9,647.28,Team A
CL00254,GVP196,C00918,2026-05-11,42,265.6,1215.97,Team A
CL00255,GVP141,C00257,2026-10-01,47,320,1715.73,Team B
CL00256,GVP268,C01407,2025-08-23,50,51.1,426.32,Team A
CL00257,GVP107,C00841,2025-02-28,39,158.0,829.21,Team C
CL00258,GVP008,C03897,2025-06-03,75,270.3,1243.04,Team C
CL00259,GVP065,C01467,2025-05-14,79,165.7,854.12,Team D
CL00260,GVP039,C02634,2026-06-11,40,251.4,1306.4,Team D
CL00261,GVP021,C01715,2026-02-27,123,148.1,849.26,Team C
CL00262,GVP273,C03377,2025-03-04,44,155.8,939.38,Team B
CL00263,GVP190,C01693,2026-04-27,128,159.1,804.27,Team A
CL00264,GVP226,C01829,2026-12-12,50,292.2,1595.25,Team B
CL00265,GVP025,C01617,2026-04-14,80,22.8,201.94,Team A
CL00266,GVP228,C03695,2026-02-02,19,84.6,411.91,Team A
CL00267,GVP167,C00437,2025-12-22,57,120.6,730.79,Team C
CL00268,GVP135,C00962,2025-05-29,113,130.5,648.14,Team A
CL00269,GVP112,C03646,2026-07-01,9,35.0,298.78,Team B
CL00270,GVP103,C00639,2026-04-22,106,83.4,487.66,Team B
CL00271,GVP186,C02470,2025-07-31,23,187.4,871.31,Team C
CL00272,GVP249,C00955,2025-02-27,40,202.4,1286.39,Team A
CL00273,GVP205,C01244,2025-12-03,23,26.8,157.06,Team C
CL00274,GVP030,C02622,2025-08-13,72,182.2,896.56,Team A
CL00275,GVP145,C03065,2026-08-07,37,268.1,1062.21,Team D
CL00276,GVP174,C03365,2025-09-28,91,49.4,375.4,Team B
CL00277,GVP276,C01477,2025-05-27,128,80.2,584.68,Team B
CL00278,GVP203,C01634,2026-02-25,31,45.3,315.82,Team B
CL00279,GVP170,C02584,2026-08-19,44,97.1,567.31,Team D
CL00280,GVP279,C01642,2026-01-05,68,114.8,658.39,Team B
CL00281,GVP160,C00495,2026-02-15,42,68.6,377.34,Team D
CL00282,GVP153,C00965,2025-06-12,46,120.8,717.49,Team B
CL00283,GVP079,C01116,2026-10-05,24,320,1583.22,Team C
CL00284,GVP237,C02292,2026-11-22,169,109.2,641.88,Team A
CL00285,GVP234,C00958,2025-02-12,86,316.7,1579.7,Team C
CL00286,GVP269,C00382,2026-03-25,139,123.2,719.81,Team C
CL00287,GVP002,C03358,2026-07-02,37,102.5,613.58,Team C
CL00288,GVP105,C03953,2026-04-07,46,65.4,426.31,Team D
CL00289,GVP180,C02702,2026-05-04,44,231.2,965.44,Team D
CL00290,GVP091,C01895,2025-11-26,49,84.7,486.16,Team A
CL00291,GVP231,C03504,2025-11-04,40,143.8,661.45,Team C
CL00292,GVP234,C02167,2025-11-30,78,26.0,261.96,Team D
CL00293,GVP133,C00675,2026-04-26,76,98.7,483.21,Team B
CL00294,GVP230,C02046,2025-11-26,59,154.1,994.94,Team D
CL00295,GVP106,C02095,2026-03-10,39,76.6,349.47,Team A
CL00296,GVP293,C00398,2026-05-21,78,88.6,489.81,Team C
CL00297,GVP045,C02357,2025-10-26,27,84.1,580.16,Team A
CL00298,GVP192,C03966,2026-02-16,32,204.9,1161.94,Team C
CL00299,GVP207,C03573,2025-10-19,28,116.3,587.71,Team B
CL00300,GVP222,C01352,2025-05-09,40,45.6,249.72,Team A
CL00301,GVP068,C00717,2026-11-07,30,188.4,991.43,Team B
CL00302,GVP193,C03912,2026-11-11,27,245.9,1009.78,Team B
CL00303,GVP190,C00004,2025-02-23,62,97.2,483.27,Team D
CL00304,GVP248,C02861,2026-02-11,24,213.5,997.93,Team B
CL00305,GVP145,C01365,2026-01-16,78,91.0,578.67,Team B
CL00306,GVP240,C00995,2026-08-11,110,136.5,746.77,Team B
CL00307,GVP262,C00011,2025-02-15,425,92.3,429.95,Team A
CL00308,GVP112,C00589,2025-10-26,21,165.5,1041.36,Team A
CL00309,GVP074,C03236,2025-02-20,54,103.0,682.49,Team D
CL00310,GVP250,C01802,2025-07-21,67,118.0,696.39,Team C
CL00311,GVP161,C00323,2025-09-27,92,198.6,1148.31,Team A
CL00312,GVP236,C02561,2026-10-11,63,148.0,809.85,Team D
CL00313,GVP227,C03688,2025-04-17,104,116.6,779.39,Team D
CL00314,GVP175,C02544,2025-02-27,83,40.3,243.4,Team A
CL00315,GVP101,C00983,2025-07-17,125,178.4,914.8,Team C
CL00316,GVP061,C02138,2026-03-20,25,320,1744.12,Team A
CL00317,GVP158,C02632,2025-07-07,55,312.2,1318.04,Team B
CL00318,GVP082,C01574,2025-08-28,69,77.1,556.62,Team A
CL00319,GVP018,C01788,2025-09-08,37,51.8,347.04,Team B
CL00320,GVP237,C00933,2025-09-25,123,122.5,720.67,Team C
CL00321,GVP280,C02572,2025-11-20,69,297.4,1646.94,Team D
CL00322,GVP052,C01513,2025-12-03,55,122.8,650.52,Team B
CL00323,GVP133,C01650,2026-09-17,120,148.0,660.21,Team C
CL00324,GVP066,C01204,2025-12-29,166,83.4,566.34,Team A
CL00325,GVP238,C01170,2026-12-09,55,88.0,555.0,Team C
CL00326,GVP115,C03594,2026-04-13,64,78.6,529.22,Team A
CL00327,GVP016,C03737,2025-05-13,47,59.8,401.1,Team C
CL00328,GVP203,C00963,2026-05-24,93,147.5,776.99,Team B
CL00329,GVP129,C01203,2026-02-13,65,187.9,1198.04,Team C
CL00330,GVP008,C03516,2025-12-28,97,196.3,880.5,Team A
CL00331,GVP238,C02195,2025-03-25,89,320,1650.15,Team B
CL00332,GVP071,C01853,2026-11-06,97,112.1,682.2,Team D
CL00333,GVP142,C00309,2026-05-01,42,105.5,733.98,Team B
CL00334,GVP220,C02310,2026-07-03,51,216.8,1069.99,Team B
CL00335,GVP228,C03205,2025-02-15,66,80.9,479.19,Team A
CL00336,GVP253,C00198,2026-07-01,32,118.6,661.26,Team D
CL00337,GVP274,C00786,2026-01-13,45,118.8,673.96,Team D
CL00338,GVP289,C03326,2025-06-04,17,120.4,665.12,Team D
CL00339,GVP110,C02016,2026-10-09,67,97.4,597.35,Team A
CL00340,GVP186,C03739,2025-07-12,21,207.6,1202.89,Team A
CL00341,GVP011,C00829,2025-05-22,17,320,1614.45,Team B
CL00342,GVP108,C01336,2026-03-12,263,39.3,279.59,Team B
CL00343,GVP186,C00553,2026-01-03,62,156.7,825.11,Team D
CL00344,GVP180,C01392,2026-09-12,37,132.6,892.45,Team A
CL00345,GVP033,C02441,2025-06-08,20,98.0,492.0,Team D
CL00346,GVP149,C00739,2025-10-10,54,236.1,1106.2,Team C
CL00347,GVP133,C01448,2025-09-11,44,320,1347.29,Team A
CL00348,GVP119,C02192,2025-04-16,24,97.2,519.27,Team C
CL00349,GVP271,C03551,2026-09-03,56,279.9,1193.05,Team C
CL00350,GVP277,C03027,2026-11-16,60,60.8,387.53,Team D
CL00351,GVP173,C00161,2026-06-02,99,90.4,610.12,Team D
CL00352,GVP026,C02899,2025-03-20,48,320,1629.03,Team C
CL00353,GVP012,C00939,2026-12-03,187,37.1,232.28,Team B
CL00354,GVP170,C02772,2026-05-10,76,96.7,564.73,Team A
CL00355,GVP214,C00632,2025-07-29,55,117.2,556.43,Team C
CL00356,GVP028,C00806,2026-12-19,30,115.9,754.58,Team C
CL00357,GVP009,C03119,2026-01-24,57,120.6,493.62,Team D
CL00358,GVP284,C00762,2025-08-01,99,60.5,385.77,Team D
CL00359,GVP141,C02157,2025-11-24,26,62.7,340.61,Team C
CL00360,GVP230,C02600,2025-12-27,97,69.5,389.54,Team C
CL00361,GVP008,C02583,2026-05-17,76,145.9,940.05,Team D
CL00362,GVP048,C01101,2025-08-19,32,257.6,1201.58,Team C
CL00363,GVP286,C00558,2026-08-16,42,320,1422.57,Team B
CL00364,GVP031,C01375,2026-02-06,10,208.7,940.37,Team D
CL00365,GVP098,C03534,2026-04-17,30,159.2,958.78,Team C
CL00366,GVP141,C02853,2026-12-08,55,74.0,474.34,Team A
CL00367,GVP018,C01171,2026-10-28,145,164.1,840.26,Team C
CL00368,GVP046,C03361,2026-04-02,26,83.8,386.25,Team D
CL00369,GVP144,C03885,2026-02-16,61,157.9,783.84,Team B
CL00370,GVP287,C02868,2026-07-12,24,105.9,497.68,Team C
CL00371,GVP019,C02880,2026-08-17,55,167.9,1060.18,Team B
CL00372,GVP159,C01845,2025-07-23,69,258.7,1422.58,Team A
CL00373,GVP176,C00566,2025-11-08,31,177.7,880.2,Team D
CL00374,GVP108,C00862,2025-05-20,85,128.2,714.89,Team B
CL00375,GVP094,C02671,2026-11-22,44,50.1,328.75,Team C
CL00376,GVP028,C00974,2026-09-04,24,216.0,862.49,Team D
CL00377,GVP056,C01633,2025-12-29,263,128.5,757.64,Team B
CL00378,GVP001,C03390,2025-08-30,33,162.0,862.61,Team D
CL00379,GVP050,C02229,2026-10-19,154,165.7,778.55,Team C
CL00380,GVP118,C01550,2026-07-17,125,183.0,884.14,Team B
CL00381,GVP185,C00865,2025-11-16,160,31.7,185.08,Team B
CL00382,GVP002,C01756,2025-06-09,43,73.3,437.91,Team A
CL00383,GVP068,C01614,2026-08-26,66,195.7,1091.9,Team D
CL00384,GVP190,C02927,2025-08-06,23,116.2,629.85,Team B
CL00385,GVP106,C00852,2026-10-11,170,222.4,1252.25,Team D
CL00386,GVP168,C02148,2026-06-12,40,68.8,410.92,Team C
CL00387,GVP026,C01258,2025-12-13,88,115.6,579.26,Team A
CL00388,GVP096,C03990,2026-02-13,41,320,1449.43,Team A
CL00389,GVP220,C02013,2026-06-06,90,110.9,476.97,Team D
CL00390,GVP004,C02052,2026-01-13,88,69.0,388.14,Team C
CL00391,GVP222,C03087,2026-04-02,35,58.4,457.33,Team D
CL00392,GVP060,C03370,2025-05-22,21,76.0,448.25,Team B
CL00393,GVP139,C01918,2025-05-21,39,75.2,334.69,Team C
CL00394,GVP055,C01640,2025-09-15,15,112.6,633.58,Team D
CL00395,GVP106,C02340,2026-03-02,78,79.4,392.67,Team C
