gvp_id,lat,lon,total_complaints,recurrence_count,recurrence_rate,average_days_between_complaints,average_cleanup_interval,distance_to_market_m,distance_to_bin_m,collection_frequency_per_week,near_school,near_bus_stop,population_density,risk_level
GVP194,17.742619,83.294459,9,8,0.8888888888888888,70.875,81.0,317,44,7,False,False,medium,Low
GVP195,17.719226,83.32907,6,5,0.8333333333333334,103.6,260.5,54,48,3,False,True,medium,Medium
GVP196,17.73413,83.318912,4,3,0.75,57.666666666666664,57.666666666666664,137,5,5,False,True,medium,Low
GVP197,17.734991,83.318732,6,5,0.8333333333333334,111.6,138.75,394,5,7,False,True,high,Low
GVP198,17.756627,83.299356,28,27,0.9642857142857143,25.703703703703702,27.72,74,184,2,True,False,medium,High
GVP199,17.756017,83.304116,15,14,0.9333333333333333,40.357142857142854,46.916666666666664,123,170,1,False,False,medium,Medium
GVP200,17.75842,83.306331,28,27,0.9642857142857143,26.22222222222222,28.32,95,185,1,True,True,medium,High
GVP201,17.730878,83.324426,9,8,0.8888888888888888,66.75,76.57142857142857,498,29,7,True,True,high,Medium
GVP202,17.730928,83.291271,7,6,0.8571428571428571,98.33333333333333,117.8,240,140,4,True,True,medium,Low
GVP203,17.725893,83.301048,24,22,0.9166666666666666,28.130434782608695,35.94444444444444,117,219,6,False,True,high,High
GVP204,17.756695,83.305694,14,13,0.9285714285714286,47.53846153846154,51.583333333333336,68,98,1,False,True,medium,Medium
GVP205,17.744878,83.320021,7,6,0.8571428571428571,68.0,67.83333333333333,356,172,3,True,True,medium,Low
GVP206,17.76299,83.302679,5,3,0.6,153.75,116.0,162,19,5,True,False,medium,Medium
GVP207,17.720096,83.33131,16,13,0.8125,43.8,38.833333333333336,42,37,4,False,True,medium,Medium
GVP208,17.724352,83.286094,28,27,0.9642857142857143,25.666666666666668,27.695652173913043,89,93,1,False,False,medium,High
GVP209,17.720105,83.329134,14,13,0.9285714285714286,51.69230769230769,55.916666666666664,20,99,4,True,True,medium,Medium
GVP210,17.730946,83.294299,7,6,0.8571428571428571,66.33333333333333,78.8,176,82,6,False,True,low,Low
GVP211,17.745887,83.32316,10,9,0.9,45.44444444444444,51.5,317,5,7,False,True,low,Low
GVP212,17.737919,83.294129,20,19,0.95,32.68421052631579,36.470588235294116,55,268,1,True,True,medium,High
GVP213,17.731436,83.318746,10,9,0.9,68.33333333333333,68.22222222222223,584,80,7,True,True,medium,Low
GVP214,17.731431,83.284202,17,16,0.9411764705882353,38.875,40.8,221,81,7,True,False,high,Medium
GVP215,17.731638,83.282994,3,2,0.6666666666666666,145.0,0.0,105,5,6,True,False,medium,Low
GVP216,17.767414,83.295363,21,20,0.9523809523809523,35.05,44.0,149,380,3,False,True,low,Medium
GVP217,17.725897,83.299863,8,7,0.875,101.0,101.0,34,120,5,True,True,medium,Medium
GVP218,17.743437,83.32304,12,11,0.9166666666666666,54.09090909090909,66.33333333333333,369,111,6,False,True,high,Medium
GVP219,17.743251,83.282952,14,12,0.8571428571428571,48.23076923076923,46.75,116,84,6,False,True,high,Medium
GVP220,17.725457,83.299811,30,29,0.9666666666666667,24.862068965517242,28.88,130,191,1,False,False,high,High
GVP221,17.759763,83.310264,8,7,0.875,53.0,52.57142857142857,373,88,5,True,False,high,Low
GVP222,17.768992,83.311399,21,20,0.9523809523809523,34.95,39.0,441,10,6,True,False,medium,Medium
GVP223,17.756193,83.312806,9,8,0.8888888888888888,70.625,108.0,153,63,6,True,False,low,Low
GVP224,17.718881,83.29304,17,16,0.9411764705882353,33.875,45.333333333333336,110,354,3,False,False,low,Medium
GVP225,17.768166,83.28965,6,5,0.8333333333333334,98.4,122.5,349,5,7,False,False,medium,Low
GVP226,17.733799,83.300442,11,10,0.9090909090909091,67.8,84.375,243,87,4,True,True,low,Medium
GVP227,17.733153,83.318307,11,10,0.9090909090909091,60.5,60.4,512,5,5,True,False,medium,Low
GVP228,17.75437,83.283442,14,12,0.8571428571428571,50.61538461538461,59.0,542,68,7,False,False,high,Medium
GVP229,17.733971,83.283516,6,5,0.8333333333333334,115.0,114.6,186,5,4,True,True,medium,Low
GVP230,17.767326,83.292866,15,14,0.9333333333333333,48.07142857142857,67.4,94,156,3,True,False,medium,Medium
GVP231,17.743249,83.323092,10,9,0.9,57.333333333333336,94.2,367,5,7,True,False,medium,Low
GVP232,17.753758,83.282503,11,10,0.9090909090909091,70.1,70.3,538,48,6,False,True,low,Low
GVP233,17.757778,83.304562,13,12,0.9230769230769231,45.666666666666664,50.09090909090909,10,158,2,False,True,low,Medium
GVP234,17.768796,83.308306,29,28,0.9655172413793104,24.5,26.423076923076923,197,15,2,True,True,medium,High
GVP235,17.73411,83.283092,13,12,0.9230769230769231,44.75,49.0,185,138,2,True,True,low,Medium
GVP236,17.76191,83.329487,16,15,0.9375,47.53333333333333,51.0,80,73,5,False,False,low,Medium
GVP237,17.724909,83.304093,11,10,0.9090909090909091,53.7,67.75,464,5,4,True,False,medium,Low
GVP238,17.741148,83.280482,12,11,0.9166666666666666,60.63636363636363,83.125,77,29,6,True,False,low,Low
GVP239,17.75068,83.328324,12,10,0.8333333333333334,55.45454545454545,61.0,12,5,4,True,True,low,Medium
GVP240,17.737154,83.31576,13,12,0.9230769230769231,48.833333333333336,58.7,101,41,3,True,False,medium,Medium
GVP241,17.75124,83.328864,15,14,0.9333333333333333,44.214285714285715,56.36363636363637,253,5,3,True,False,high,Medium
GVP242,17.768549,83.311228,15,13,0.8666666666666667,46.642857142857146,66.77777777777777,364,9,7,False,False,low,Medium
GVP243,17.757457,83.305952,15,14,0.9333333333333333,44.42857142857143,51.5,118,134,1,True,False,high,Medium
GVP244,17.724609,83.294745,30,29,0.9666666666666667,22.79310344827586,22.79310344827586,23,122,2,True,False,medium,High
GVP245,17.760126,83.290265,7,6,0.8571428571428571,109.0,109.16666666666667,113,94,5,True,False,high,Medium
GVP246,17.724022,83.295252,5,4,0.8,176.25,176.75,56,148,3,True,True,low,Medium
GVP247,17.728054,83.304815,10,9,0.9,69.44444444444444,89.85714285714286,39,191,6,False,False,low,Medium
GVP248,17.764693,83.315703,13,11,0.8461538461538461,52.833333333333336,70.88888888888889,229,93,7,False,False,high,Medium
GVP249,17.730386,83.305979,22,20,0.9090909090909091,32.19047619047619,40.4375,89,257,1,True,True,low,High
